frame,time_seconds,plate_text,plate_confidence,car_box,plate_box_in_frame
67,2.68,L48254S,0.0793,"(375, 347, 788, 716)","(482, 624, 573, 652)"
67,2.68,A54,0.0284,"(1627, 0, 1919, 168)","(1680, 116, 1734, 136)"
68,2.72,E8254S,0.0931,"(375, 348, 788, 716)","(482, 623, 572, 652)"
68,2.72,2501,0.0029,"(1619, 0, 1919, 173)","(1675, 119, 1730, 138)"
69,2.76,I48254,0.0711,"(375, 348, 789, 716)","(482, 624, 574, 653)"
69,2.76,97,0.2974,"(1614, 0, 1919, 175)","(1669, 120, 1725, 141)"
69,2.76,3,0.1234,"(1613, 0, 1919, 172)","(1666, 117, 1727, 142)"
70,2.8,I48254S,0.0571,"(375, 349, 788, 716)","(482, 624, 573, 653)"
70,2.8,PC04,0.022,"(1607, 0, 1919, 177)","(1665, 123, 1720, 143)"
71,2.84,I48254,0.0712,"(375, 348, 789, 716)","(482, 624, 574, 653)"
71,2.84,I04,0.0689,"(1603, 0, 1919, 180)","(1660, 126, 1715, 145)"
72,2.88,I48254,0.0711,"(375, 348, 789, 716)","(482, 624, 574, 653)"
72,2.88,704,0.2891,"(1596, 0, 1919, 182)","(1655, 128, 1711, 148)"
73,2.92,O8254S,0.0948,"(375, 348, 788, 716)","(482, 623, 572, 652)"
73,2.92,7001,0.0597,"(1591, 0, 1919, 184)","(1650, 131, 1706, 152)"
74,2.96,E48254S,0.0518,"(375, 348, 788, 716)","(482, 623, 572, 652)"
74,2.96,7604,0.1482,"(1586, 0, 1919, 186)","(1645, 133, 1702, 153)"
75,3.0,E8254S,0.0911,"(375, 348, 788, 716)","(482, 623, 572, 652)"
75,3.0,P6,0.3011,"(1582, 0, 1916, 191)","(1641, 136, 1698, 156)"
76,3.04,PEO,0.0271,"(1578, 0, 1909, 193)","(1636, 139, 1695, 158)"
76,3.04,O8254S,0.0963,"(375, 348, 788, 716)","(482, 623, 572, 652)"
77,3.08,O8254S,0.0952,"(375, 348, 788, 716)","(482, 623, 572, 652)"
77,3.08,RE04,0.0168,"(1571, 0, 1897, 195)","(1633, 141, 1691, 161)"
78,3.12,O8254S,0.0952,"(375, 348, 788, 716)","(482, 623, 572, 652)"
78,3.12,764,0.235,"(1564, 0, 1891, 199)","(1629, 143, 1687, 164)"
79,3.16,O8254S,0.0952,"(375, 348, 788, 716)","(482, 623, 572, 652)"
79,3.16,R614,0.0661,"(1561, 0, 1884, 201)","(1625, 147, 1685, 167)"
80,3.2,I48254S,0.0573,"(374, 348, 788, 716)","(482, 624, 573, 653)"
80,3.2,764,0.035,"(1558, 0, 1876, 204)","(1622, 149, 1681, 169)"
81,3.24,I48254S,0.0573,"(374, 348, 788, 716)","(482, 624, 573, 653)"
81,3.24,REON,0.0442,"(1554, 0, 1870, 205)","(1619, 153, 1678, 172)"
82,3.28,I48254S,0.0573,"(374, 348, 788, 716)","(482, 624, 573, 653)"
82,3.28,ACOAL,0.1424,"(1551, 0, 1865, 207)","(1616, 154, 1675, 175)"
83,3.32,I48254S,0.0573,"(374, 348, 788, 716)","(482, 624, 573, 653)"
83,3.32,RED4,0.0429,"(1547, 0, 1859, 209)","(1613, 157, 1673, 177)"
84,3.36,AEDT,0.0203,"(1542, 0, 1853, 212)","(1611, 160, 1670, 179)"
84,3.36,LA8254S,0.1146,"(374, 349, 788, 716)","(482, 625, 573, 653)"
85,3.4,LA8254S,0.1876,"(374, 349, 788, 716)","(482, 624, 573, 653)"
85,3.4,RCOAL,0.068,"(1540, 0, 1847, 215)","(1607, 161, 1668, 182)"
86,3.44,LA8254S,0.1876,"(374, 349, 788, 716)","(482, 624, 573, 653)"
86,3.44,R6DCZ,0.06,"(1537, 0, 1844, 217)","(1604, 164, 1665, 184)"
87,3.48,REOCL,0.0657,"(1535, 0, 1837, 219)","(1601, 166, 1663, 187)"
87,3.48,LA8254S,0.1876,"(374, 349, 788, 716)","(482, 624, 573, 653)"
88,3.52,LA8254S,0.1985,"(374, 349, 788, 716)","(482, 624, 573, 653)"
88,3.52,DEDC,0.117,"(1531, 0, 1831, 222)","(1599, 170, 1661, 189)"
89,3.56,LA8254S,0.2058,"(374, 349, 788, 716)","(482, 624, 573, 653)"
89,3.56,RED6L,0.0827,"(1526, 0, 1826, 227)","(1598, 174, 1659, 192)"
90,3.6,LA8254S,0.2058,"(374, 348, 788, 716)","(482, 624, 573, 653)"
90,3.6,REOAU,0.0895,"(1523, 0, 1820, 230)","(1596, 175, 1659, 196)"
91,3.64,LA8254S,0.1874,"(374, 348, 788, 716)","(482, 624, 573, 653)"
91,3.64,RC062,0.0931,"(1520, 0, 1814, 234)","(1593, 178, 1656, 199)"
92,3.68,LA8254S,0.1874,"(374, 348, 788, 716)","(482, 624, 573, 653)"
92,3.68,REDA,0.0937,"(1518, 0, 1808, 239)","(1592, 181, 1654, 202)"
